Año,Mes,Puerto,Cód.Arancelario,Descripción.Cód.Arancelario,Operación,País.Origen,Puerto.Origen,País.Destino,Puerto.Destino,Unidades
2020,dic,S/C DE LA PALMA,1,Pasajeros en régimen de transporte,Cargadas,ESPAÑA,Santa Cruz de la Palma,ESPAÑA,Santa Cruz de Tenerife,26
2020,dic,S/C DE LA PALMA,1,Pasajeros en régimen de transporte,Descargadas,ESPAÑA,ARRECIFE DE LANZAROTE,ESPAÑA,Santa Cruz de la Palma,30
2020,dic,S/C DE LA PALMA,1,Pasajeros en régimen de transporte,Descargadas,ESPAÑA,CADIZ,ESPAÑA,Santa Cruz de la Palma,34
2020,dic,S/C DE LA PALMA,1,Pasajeros en régimen de transporte,Descargadas,ESPAÑA,Los Cristianos,ESPAÑA,Santa Cruz de la Palma,9521
2020,dic,S/C DE LA PALMA,1,Pasajeros en régimen de transporte,Descargadas,ESPAÑA,San Sebastian de la Gomera,ESPAÑA,Santa Cruz de la Palma,677
2020,dic,S/C DE LA PALMA,1,Pasajeros en régimen de transporte,Descargadas,ESPAÑA,Santa Cruz de Tenerife,ESPAÑA,Santa Cruz de la Palma,48
2020,dic,S/C DE TENERIFE,0001C,Cruceristas en Transito,Tránsito,ESPAÑA,ARRECIFE DE LANZAROTE,ESPAÑA,San Sebastian de la Gomera,2452
2020,dic,S/C DE TENERIFE,0001C,Cruceristas en Transito,Tránsito,ESPAÑA,La Estaca (El Hierro),ESPAÑA,ARRECIFE DE LANZAROTE,27
2020,dic,S/C DE TENERIFE,0001C,Cruceristas en Transito,Tránsito,ESPAÑA,LA LUZ Y LAS PALMAS,ESPAÑA,LA LUZ Y LAS PALMAS,2422
2020,dic,S/C DE TENERIFE,0001C,Cruceristas en Transito,Tránsito,ESPAÑA,LA LUZ Y LAS PALMAS,ESPAÑA,Santa Cruz de la Palma,1083
2020,dic,S/C DE TENERIFE,0001C,Cruceristas en Transito,Tránsito,ESPAÑA,PUERTO DEL ROSARIO (FUERTEVENTURA),ESPAÑA,Santa Cruz de la Palma,2721
2020,dic,S/C DE TENERIFE,0001C,Cruceristas en Transito,Tránsito,ESPAÑA,Santa Cruz de Tenerife,ESPAÑA,Santa Cruz de Tenerife,41
2020,dic,S/C DE TENERIFE,0001D,Conductores de camión,Cargadas,ESPAÑA,Santa Cruz de Tenerife,ESPAÑA,AGAETE (G.C.),997
2020,dic,S/C DE TENERIFE,0001D,Conductores de camión,Cargadas,ESPAÑA,Santa Cruz de Tenerife,ESPAÑA,CADIZ,26
2020,dic,S/C DE TENERIFE,0001D,Conductores de camión,Cargadas,ESPAÑA,Santa Cruz de Tenerife,ESPAÑA,HUELVA,7
2020,dic,S/C DE TENERIFE,0001D,Conductores de camión,Cargadas,ESPAÑA,Santa Cruz de Tenerife,ESPAÑA,LA LUZ Y LAS PALMAS,427
2020,dic,S/C DE TENERIFE,0001D,Conductores de camión,Cargadas,ESPAÑA,Santa Cruz de Tenerife,ESPAÑA,Santa Cruz de la Palma,2
2020,dic,S/C DE TENERIFE,0001D,Conductores de camión,Descargadas,ESPAÑA,AGAETE (G.C.),ESPAÑA,Santa Cruz de Tenerife,1047
2020,dic,S/C DE TENERIFE,0001D,Conductores de camión,Descargadas,ESPAÑA,ARRECIFE DE LANZAROTE,ESPAÑA,Santa Cruz de Tenerife,4
2020,dic,S/C DE TENERIFE,0001D,Conductores de camión,Descargadas,ESPAÑA,CADIZ,ESPAÑA,Santa Cruz de Tenerife,13
2020,dic,S/C DE TENERIFE,0001D,Conductores de camión,Descargadas,ESPAÑA,HUELVA,ESPAÑA,Santa Cruz de Tenerife,9
2020,dic,S/C DE TENERIFE,0001D,Conductores de camión,Descargadas,ESPAÑA,LA LUZ Y LAS PALMAS,ESPAÑA,Santa Cruz de Tenerife,380
2020,dic,S/C DE TENERIFE,0001D,Conductores de camión,Descargadas,ESPAÑA,MORRO JABLE (FUERTEVENTURA),ESPAÑA,Santa Cruz de Tenerife,2
2020,dic,S/C DE TENERIFE,0001D,Conductores de camión,Descargadas,ESPAÑA,Santa Cruz de la Palma,ESPAÑA,Santa Cruz de Tenerife,3
2020,dic,S/C DE TENERIFE,0001X,Cruceristas Inician/Finalizan Línea,Cargadas,ESPAÑA,Santa Cruz de Tenerife,ESPAÑA,ARRECIFE DE LANZAROTE,190
2020,dic,S/C DE TENERIFE,0001X,Cruceristas Inician/Finalizan Línea,Cargadas,ESPAÑA,Santa Cruz de Tenerife,ESPAÑA,LA LUZ Y LAS PALMAS,5
2020,dic,S/C DE TENERIFE,0001X,Cruceristas Inician/Finalizan Línea,Cargadas,ESPAÑA,Santa Cruz de Tenerife,ESPAÑA,Santa Cruz de Tenerife,243
2020,dic,S/C DE TENERIFE,0001X,Cruceristas Inician/Finalizan Línea,Descargadas,ESPAÑA,ARRECIFE DE LANZAROTE,ESPAÑA,Santa Cruz de Tenerife,2
2020,dic,S/C DE TENERIFE,0001X,Cruceristas Inician/Finalizan Línea,Descargadas,ESPAÑA,La Estaca (El Hierro),ESPAÑA,Santa Cruz de Tenerife,203
2020,dic,S/C DE TENERIFE,0001X,Cruceristas Inician/Finalizan Línea,Descargadas,ESPAÑA,LA LUZ Y LAS PALMAS,ESPAÑA,Santa Cruz de Tenerife,9
2020,dic,S/C DE TENERIFE,0001X,Cruceristas Inician/Finalizan Línea,Descargadas,ESPAÑA,PUERTO DEL ROSARIO (FUERTEVENTURA),ESPAÑA,Santa Cruz de Tenerife,2
2020,dic,S/C DE TENERIFE,0001X,Cruceristas Inician/Finalizan Línea,Descargadas,ESPAÑA,Santa Cruz de Tenerife,ESPAÑA,Santa Cruz de Tenerife,233
2020,dic,S/C DE TENERIFE,1,Pasajeros en régimen de transporte,Cargadas,ESPAÑA,Santa Cruz de Tenerife,ESPAÑA,AGAETE (G.C.),24493
2020,dic,S/C DE TENERIFE,1,Pasajeros en régimen de transporte,Cargadas,ESPAÑA,Santa Cruz de Tenerife,ESPAÑA,ARRECIFE DE LANZAROTE,17
